Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Turkiye,57.543,60.246,67.342,73.808,78.321,86.247,94.862,103.296,111.022,116.44,124.921722,122.724822,129.40012,140.580845,150.697897,161.956001,176.299905,191.558213,198.41866,194.811845,211.208372,229.395111,239.496684,240.153886,251.962567,261.782898,274.407161,297.277524,304.801874,303.89756,306.703093,334.72311,326.01480474306
CIS,1675.467,1634.244,1528.851,1435.692,1308.73,1270.37,1237.081,1210.51,1193.152,1214.142,1250.208,1270.437,1274.408,1317.129,1345.96,1372.8599,1430.9862,1458.32656,1483.4222,1407.2627,1483.009,1513.6225,1542.6392,1538.308006,1532.196937,1516.700164,1545.243841,1553.600108,1592.774905,1596.422649,1563.071538,1658.1340624759,1616.5039505431
Kazakhstan,87.379,85.984,82.701,77.444,66.397,66.661,59.038,52.0,49.145,47.498,51.324,56.857,58.342,63.866,66.945,67.847,71.657,76.598,80.327,78.71,82.646,86.586,92.817,103.085,95.311,91.883,94.693,103.196827,107.604727,106.87796,110.890318,117.70146986317,116.07449614566
Russia,1082.152,1068.163,1008.45,956.587,875.914,860.027,847.183,834.132,827.158,846.226,877.766,891.284,891.285,916.286,931.865,953.086,995.794,1015.333,1040.379,991.98,1038.03,1054.765,1070.734,1059.092,1064.207,1067.544,1090.973,1094.28861,1115.093189,1121.4924,1089.6677,1158.082125,1165.03061775
Ukraine,298.835,278.683,252.524,229.906,202.922,194.018,182.986,178.002,172.822,172.12,171.445,172.972,173.734,180.36,182.165,186.0539,193.3802,196.36856,192.5862,173.6187,188.828,194.9475,198.8782,194.3768,182.8186,163.6814,164.5716,156.0356,159.833,154.141,148.4079,156.12958528981,113.19394933511
Uzbekistan,56.325,54.165,50.911,49.149,47.8,47.453,45.419,46.054,45.935,45.371,46.862,47.959,49.397,48.742,49.699,47.665,49.373,49.011,50.218,50.103,51.975,52.804,52.998,54.617,55.763,57.412,58.717,60.820065,62.896589,63.531593,66.500697,70.542728628482,70.435283059398
America,4305.89,4424.99,4471.3241,4637.2054,4761.7297,4911.2688,5056.864,5126.1973,5292.44288,5409.39277,5640.918724,5431.167364,5658.35976,5732.52606,5882.472824,6072.862372,6119.30122,6240.005834,6305.8492523333,6106.1555650553,6357.4957847783,6428.3065031103,6419.5395580953,6496.9754393053,6530.8710103944,6556.5873561861,6582.0165255804,6551.8155713447,6770.177402782,6689.4018209997,6500.181527658,6678.175013437,6861.1844933481
North America,3700.773,3784.412,3811.499,3943.508,4029.219,4142.23,4250.062,4271.439,4392.249,4476.574,4658.374,4455.198,4652.389,4671.417,4774.832,4915.148,4910.757,4977.876,5001.475,4796.815,4981.486,4982.883,4922.758,4964.066,4999.133,4975.103,4988.092,4949.748741,5113.770712,5044.435501,4911.939496,5014.5171977881,5166.5101485098
Canada,482.152,508.572,520.39,532.228,555.784,560.116,573.04,573.711,561.76,579.056,605.707,589.891,601.269,589.653,599.976,620.78,609.926,628.035,633.214,608.6,603.056,633.42,632.098,657.695,658.762,657.944,666.054,663.32,658.332,652.675,651.896,643.77419778812,656.69437441751
United States,3218.621,3275.84,3291.109,3411.28,3473.435,3582.114,3677.022,3697.728,3830.489,3897.518,4052.667,3865.307,4051.12,4081.764,4174.856,4294.368,4300.831,4349.841,4368.261,4188.215,4378.43,4349.463,4290.66,4306.371,4340.371,4317.159,4322.038,4286.428741,4455.438712,4391.760501,4260.043496,4370.743,4509.8157740923
