Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Indonesia,145,157,165,179,190,212,230,250,252,271,272,290,297,325,332,335,354,372,365,382,410,461,468,429,464,470,461,492,545,586,546,576,739
Japan,1060,1067,1075,1068,1120,1130,1141,1132,1096,1135,1149,1135,1175,1185,1182,1182,1157,1189,1124,1074,1123,1173,1214,1222,1172,1136,1123,1107,1070,1033,981,1003,1001
Malaysia,51,61,64,70,75,82,93,100,100,109,118,124,130,136,149,159,166,184,195,175,194,199,203,221,228,228,228,243,246,250,247,254,265
SouthKorea,243,268,291,317,342,372,396,418,361,395,436,446,460,463,488,493,496,517,530,542,594,626,631,628,624,638,655,665,667,653,609,615,597
Taiwan,113,122,130,140,148,157,164,178,187,195,213,220,229,241,250,257,264,270,257,244,261,267,263,265,270,271,275,283,279,268,267,264,274
Thailand,82,90,99,112,126,142,160,164,149,156,157,165,177,186,203,209,211,218,222,217,234,233,250,262,257,264,260,260,259,268,257,247,250
Pacific,286,288,294,297,302,313,324,336,354,363,370,379,391,392,406,410,414,424,428,429,437,434,435,432,423,429,439,439,437,428,410,398,394
Australia,261,263,267,271,275,285,295,304,323,330,336,342,354,354,368,371,375,386,389,392,400,397,397,393,383,389,398,398,395,385,369,359,360
NewZealand,22,22,24,23,24,24,26,28,27,29,30,32,32,33,32,33,33,32,33,30,30,29,31,31,32,32,31,33,32,34,31,31,30
Africa,520,527,538,547,544,574,598,628,647,652,667,724,756,788,836,863,880,923,979,970,1027,1030,1096,1134,1179,1172,1186,1216,1239,1258,1167,1246,1268
Algeria,53,57,57,59,56,57,56,58,59,63,64,66,72,75,76,80,83,87,91,97,98,105,115,118,127,135,133,135,143,148,139,152,155
Egypt,78,77,80,82,77,83,87,94,99,104,102,112,117,121,132,149,157,170,178,182,184,190,197,196,198,205,214,226,221,203,198,217,216
Nigeria,28,34,40,37,31,33,37,42,38,39,44,50,51,56,56,58,53,49,54,46,58,68,72,84,93,87,91,89,93,98,90,101,102
SouthAfrica,238,234,232,239,243,257,269,281,291,275,284,317,329,349,372,364,364,387,416,392,419,401,421,429,440,416,416,427,430,440,391,385,367
Middle-East,589,604,676,724,793,811,841,889,894,917,968,1023,1067,1098,1165,1242,1320,1388,1478,1529,1604,1657,1730,1766,1832,1855,1869,1896,1879,1900,1838,1892,1995
Iran,181,201,218,220,249,255,262,277,280,306,320,335,351,366,395,427,460,493,502,521,515,531,538,561,587,582,585,609,622,614,601,624,634
Kuwait,28,8,22,29,33,33,32,33,39,43,47,50,52,54,58,66,68,67,73,75,79,82,85,85,84,88,89,89,92,92,91,105,113
SaudiArabia,156,162,177,187,200,199,212,214,229,235,249,254,272,283,299,315,334,352,384,404,446,462,494,500,538,561,559,553,529,531,517,529,584
UnitedArabEmirates,52,59,57,60,65,69,72,76,78,80,79,92,94,99,105,111,115,124,146,148,155,160,170,179,180,189,196,187,169,181,184,181,183
